,mots,poids,serie
0,etre,21797.568903241612,burnnotice
1,le,20444.497136925536,burnnotice
2,je,16314.412035404008,burnnotice
3,avoir,16113.044878571709,burnnotice
4,de,14413.605534413116,burnnotice
5,un,12396.782612420422,burnnotice
6,ce,11266.182574920955,burnnotice
7,que,10434.33779928452,burnnotice
8,vous,10094.043703701602,burnnotice
9,il,8182.858477891503,burnnotice
10,pas,7745.789026248319,burnnotice
11,ne,5872.507144132369,burnnotice
12,cela,5474.603315296372,burnnotice
13,aller,4801.695275234639,burnnotice
14,tu,4788.4056565562,burnnotice
15,pouvoir,4768.069958181175,burnnotice
16,et,4702.383514140919,burnnotice
17,faire,4651.53149935062,burnnotice
18,en,3630.175296220001,burnnotice
19,on,3578.0,burnnotice
20,me,3427.685593168681,burnnotice
21,pour,3370.4056314342897,burnnotice
22,te,3280.705198221875,burnnotice
23,qui,2979.949862144333,burnnotice
24,devoir,2880.0366098674217,burnnotice
25,dans,2849.9506067057073,burnnotice
26,mon,2825.5124654116344,burnnotice
27,vouloir,2716.187019745932,burnnotice
28,dire,2687.3539926879785,burnnotice
29,savoir,2659.068630912133,burnnotice
30,se,2618.661335510121,burnnotice
31,tout,2577.299171600767,burnnotice
32,avec,2569.477568065466,burnnotice
33,sur,2566.1872628499323,burnnotice
34,mais,2555.02095941342,burnnotice
35,quelque,2275.8548382885465,burnnotice
36,bien,2208.1371812010175,burnnotice
37,si,2197.737313413733,burnnotice
38,moi,2114.2139649459946,burnnotice
39,lui,2096.0226971119473,burnnotice
40,ou,1802.2784870508592,burnnotice
41,voir,1780.5697316692494,burnnotice
42,taire,1664.4531941464609,burnnotice
43,votre,1655.7922246777764,burnnotice
44,plus,1497.6251814845596,burnnotice
45,parler,1422.350911361521,burnnotice
46,quoi,1399.7472996955503,burnnotice
47,chose,1342.786281064922,burnnotice
48,luire,1302.3508658110159,burnnotice
49,son,1283.101803182469,burnnotice
50,penser,1233.0948534916233,burnnotice
51,au,1220.424183228049,burnnotice
52,quand,1200.9268255692505,burnnotice
53,toi,1182.1809731390715,burnnotice
54,nous,1126.7304740520783,burnnotice
55,peu,1119.5197697169394,burnnotice
56,juste,1114.443454896451,burnnotice
57,besoin,1112.8260790160907,burnnotice
58,bon,1108.6367454169892,burnnotice
59,comme,1098.1428570997027,burnnotice
60,non,1065.6261576044167,burnnotice
61,prendre,1060.8787530367847,burnnotice
62,ici,1052.778240309388,burnnotice
63,ton,1043.3563294376636,burnnotice
64,la,1028.9702317431065,burnnotice
65,rien,1017.9619520471878,burnnotice
66,passer,982.3053078941571,burnnotice
67,michael,965.8511627823024,burnnotice
68,trouver,959.4491462784138,burnnotice
69,appeler,917.2198704739061,burnnotice
70,venir,873.526636460751,burnnotice
71,westen,870.13465972549,burnnotice
72,falloir,832.7613188648909,burnnotice
73,autre,821.1607836416651,burnnotice
74,argent,798.2226160762035,burnnotice
75,ami,786.7698313280541,burnnotice
76,temps,786.1823324114928,burnnotice
77,voiture,776.3657843737359,burnnotice
78,croire,775.3295037707604,burnnotice
79,oui,767.5101761765237,burnnotice
80,alors,748.0199358198385,burnnotice
81,meme,743.9722339640638,burnnotice
82,sam,731.1527052341429,burnnotice
83,pourquoi,717.8910704859181,burnnotice
84,petit,715.8823534681608,burnnotice
85,donc,711.2046369651708,burnnotice
86,tres,709.424172227832,burnnotice
87,ouai,702.4401193413403,burnnotice
88,maintenant,698.0581255386575,burnnotice
89,fi,697.6276362904664,burnnotice
90,tuer,696.0440630067018,burnnotice
91,probleme,678.0886618685664,burnnotice
92,gars,656.7928711080099,burnnotice
93,nouveau,652.1324535685291,burnnotice
94,deux,636.9839916964606,burnnotice
95,veux,627.9464816083321,burnnotice
96,personne,624.1866578541382,burnnotice
97,mike,620.8631498470374,burnnotice
98,arriver,614.8582557136314,burnnotice
99,aussi,606.2931546563207,burnnotice
100,jamais,599.0427885828195,burnnotice
101,fois,585.2452265026991,burnnotice
102,vraiment,584.6398277043093,burnnotice
103,aimer,580.0367191722515,burnnotice
104,travailler,573.3116557615588,burnnotice
105,fait,569.9999027412583,burnnotice
106,aider,561.5427947928464,burnnotice
107,par,544.2667860833079,burnnotice
108,sai,537.1468824103501,burnnotice
109,encore,535.9746499430537,burnnotice
110,mec,531.9224553691449,burnnotice
111,sortir,531.2800094447289,burnnotice
112,merci,524.8176604232809,burnnotice
113,partir,524.5549460340361,burnnotice
114,boulot,521.7824402991846,burnnotice
115,miami,520.6730568045509,burnnotice
116,affaire,516.8863358471737,burnnotice
117,gens,511.8188227506327,burnnotice
118,laisser,511.10481921265057,burnnotice
119,toujours,506.7513096540918,burnnotice
120,essayer,498.30545449319027,burnnotice
121,connaitre,494.29216068591865,burnnotice
122,comment,493.47587125182815,burnnotice
123,homme,491.36395775718296,burnnotice
124,ok,480.6191445521961,burnnotice
125,seul,479.16076801185994,burnnotice
126,fai,478.03883347902206,burnnotice
127,mettre,476.3462310748463,burnnotice
128,arme,467.39190704314757,burnnotice
129,notre,464.5658697523189,burnnotice
130,avant,462.73437848753855,burnnotice
131,nom,458.0346471643879,burnnotice
132,espion,455.15940532546125,burnnotice
133,securite,441.6393857434275,burnnotice
134,mieux,441.3947417140796,burnnotice
135,chez,431.3174818829312,burnnotice
136,heure,428.0696174359187,burnnotice
137,trop,419.1649264463806,burnnotice
138,as,410.0,burnnotice
139,flic,407.1062490025397,burnnotice
140,jour,404.96347743487496,burnnotice
141,truc,403.50380464156626,burnnotice
142,travail,396.4224472752866,burnnotice
143,apres,395.87889498744454,burnnotice
144,maison,395.87889498744454,burnnotice
145,nate,394.97903243167264,burnnotice
146,donner,393.7032930484851,burnnotice
147,allez,391.11058097555986,burnnotice
148,sans,387.37192712504765,burnnotice
149,vrai,383.32861440948795,burnnotice
150,vie,382.0601663419172,burnnotice
151,beaucoup,376.94690293235016,burnnotice
152,famille,368.1972217354292,burnnotice
153,fiona,366.7663697994057,burnnotice
154,celui,366.51595588275603,burnnotice
155,demander,363.1717719187658,burnnotice
156,jusque,363.1717719187658,burnnotice
157,rester,359.79089247206326,burnnotice
158,occuper,349.65840366132335,burnnotice
159,quel,344.7875906974131,burnnotice
160,mal,343.8317287854288,burnnotice
161,ecoute,342.9017195326021,burnnotice
162,assez,339.5233774682415,burnnotice
163,moins,337.8342064360612,burnnotice
164,payer,336.25317053463857,burnnotice
165,entrer,336.1450354038809,burnnotice
166,parce,334.57190468196535,burnnotice
167,marche,333.8491970529165,burnnotice
168,entendre,333.6606935320788,burnnotice
169,attendre,327.69918024297937,burnnotice
170,gros,321.1217778605798,burnnotice
171,agent,318.18673860827926,burnnotice
172,maman,317.3650307421133,burnnotice
173,fille,311.4747800020109,burnnotice
174,compte,310.8074699211763,burnnotice
175,monde,309.35291689186744,burnnotice
176,rendre,307.6716510391943,burnnotice
177,voila,305.99197985338316,burnnotice
178,importer,296.75484182481466,burnnotice
179,dernier,295.60493063155354,burnnotice
180,envoyer,292.5402583651355,burnnotice
181,aucun,287.159075470652,burnnotice
182,meilleur,285.4699044384717,burnnotice
183,arreter,285.4699044384717,burnnotice
184,coup,285.0606128215996,burnnotice
185,commencer,282.45266324909636,burnnotice
186,ville,281.26949559693776,burnnotice
187,finir,280.4023913419308,burnnotice
188,mere,278.4263708811963,burnnotice
189,aide,278.2008087501065,burnnotice
190,tirer,270.68380228038404,burnnotice
191,subber,268.350158431325,burnnotice
192,bas,267.34140978076243,burnnotice
193,secret,266.3257408841927,burnnotice
194,reste,265.64000472236444,burnnotice
195,utiliser,265.199852052308,burnnotice
196,mort,264.90288219510376,burnnotice
197,voler,263.5106810201277,burnnotice
198,garde,262.12752221559737,burnnotice
199,mourir,261.05393733309796,burnnotice
200,comprendre,260.1323389557671,burnnotice
201,fils,260.1323389557671,burnnotice
